iter	Accuracy	Logloss
123	0.8281016442	0.4869079574
124	0.8281016442	0.485933232
125	0.8266068759	0.485483308
126	0.8266068759	0.4848944177
127	0.8251121076	0.4847710699
128	0.8281016442	0.4839897868
129	0.8295964126	0.483148487
130	0.8295964126	0.4819924529
131	0.8266068759	0.4813476583
132	0.8281016442	0.4810915546
133	0.8295964126	0.4808311084
134	0.8295964126	0.4804067514
135	0.8310911809	0.47956097
136	0.8310911809	0.4794375302
137	0.8310911809	0.4786832048
138	0.8295964126	0.4778529439
139	0.8281016442	0.4765520212
140	0.8266068759	0.4759116793
141	0.8266068759	0.4757601469
142	0.8281016442	0.4755307711
143	0.8295964126	0.475359279
144	0.8266068759	0.474813853
145	0.8281016442	0.4743378184
146	0.8310911809	0.4740991141
147	0.8295964126	0.4739592046
148	0.8281016442	0.4735893952
149	0.8310911809	0.4731493219
150	0.8295964126	0.4730103375
151	0.8310911809	0.4728168774
152	0.8251121076	0.4723442641
153	0.8266068759	0.4715705684
154	0.8266068759	0.4708718427
155	0.8281016442	0.4703182016
156	0.8281016442	0.4692882808
157	0.8295964126	0.4684653948
158	0.8266068759	0.4683106383
159	0.8236173393	0.46712493
160	0.8281016442	0.466443037
161	0.8266068759	0.4663565721
162	0.8251121076	0.4661662797
163	0.8236173393	0.4660199302
164	0.8266068759	0.4652960461
165	0.8266068759	0.4641798435
166	0.8281016442	0.4636072454
167	0.8281016442	0.4634891687
168	0.8295964126	0.4633293666
169	0.8251121076	0.4628249959
170	0.8295964126	0.4626776343
171	0.8266068759	0.4624824625
172	0.8251121076	0.4623813075
173	0.8251121076	0.4622775897
174	0.8266068759	0.4619413159
175	0.8236173393	0.4613162731
176	0.8251121076	0.4603947759
177	0.8236173393	0.4598104228
178	0.8251121076	0.4594072647
179	0.8251121076	0.4592112805
180	0.8236173393	0.4587565254
181	0.8251121076	0.4584368061
182	0.8236173393	0.4580016437
183	0.822122571	0.4575174657
184	0.8236173393	0.4572179491
185	0.8206278027	0.4568306483
186	0.8236173393	0.4566608969
187	0.822122571	0.4563159215
188	0.8236173393	0.455588392
189	0.822122571	0.4554622647
190	0.8236173393	0.4549247837
191	0.8236173393	0.4544669243
192	0.8236173393	0.4541827374
193	0.8236173393	0.4534684999
194	0.8236173393	0.4531458087
195	0.8251121076	0.4529130357
196	0.8236173393	0.4528769622
197	0.822122571	0.4528000987
198	0.8251121076	0.452148966
199	0.8251121076	0.4520315625
200	0.8236173393	0.4518858566
201	0.8266068759	0.4516359242
202	0.8236173393	0.4507926696
203	0.8266068759	0.450724074
204	0.8236173393	0.4504391974
205	0.8236173393	0.4499304109
206	0.8236173393	0.4495550986
207	0.822122571	0.4492549534
208	0.8251121076	0.4490567922
209	0.8251121076	0.4487989047
210	0.8236173393	0.4487289619
211	0.8236173393	0.4483025183
212	0.8206278027	0.4481603634
213	0.8236173393	0.4480848731
214	0.822122571	0.4479825585
215	0.8206278027	0.4474746384
216	0.8206278027	0.4469350064
217	0.8206278027	0.4466663861
218	0.822122571	0.445996568
219	0.822122571	0.445504562
220	0.822122571	0.4450808689
221	0.8206278027	0.4449495229
222	0.8206278027	0.4446917407
223	0.8206278027	0.4443584564
224	0.8206278027	0.443425167
225	0.822122571	0.4432928714
226	0.8206278027	0.4429531864
227	0.8206278027	0.4426044056
228	0.8206278027	0.4424161703
229	0.8206278027	0.4417349168
230	0.8206278027	0.4416793499
231	0.822122571	0.4415691516
232	0.822122571	0.4414762977
233	0.822122571	0.441297436
234	0.822122571	0.4410044376
235	0.822122571	0.4409103677
236	0.822122571	0.440798775
237	0.822122571	0.4406140802
238	0.8191330344	0.4402722265
239	0.8191330344	0.4398656441
240	0.8191330344	0.439729358
241	0.8176382661	0.4394857121
242	0.8191330344	0.439365527
243	0.8206278027	0.438927597
244	0.8191330344	0.4387791732
245	0.822122571	0.4386545209
246	0.822122571	0.4386268423
247	0.8206278027	0.4384718039
248	0.8176382661	0.4383130505
249	0.8236173393	0.4377050187
250	0.8191330344	0.4375295621
251	0.8236173393	0.4373001459
252	0.8191330344	0.4367699307
253	0.8206278027	0.4366604893
254	0.8176382661	0.4365173022
255	0.8191330344	0.4363105431
256	0.8176382661	0.4360690584
257	0.8206278027	0.4354086465
258	0.8206278027	0.4354042916
259	0.8191330344	0.4352322331
260	0.8176382661	0.4348977883
261	0.8191330344	0.4347710436
262	0.8191330344	0.4345272176
263	0.8206278027	0.434166003
264	0.8206278027	0.4340887414
265	0.8206278027	0.4339651812
266	0.8191330344	0.4337155261
267	0.8206278027	0.4335840822
268	0.8206278027	0.4334030897
269	0.8206278027	0.433116043
270	0.8206278027	0.4330395759
271	0.8191330344	0.4325966533
272	0.8191330344	0.4323733639
273	0.8206278027	0.431845822
274	0.822122571	0.4316386488
275	0.822122571	0.4315851862
276	0.8236173393	0.431415894
277	0.8236173393	0.4312569601
278	0.8236173393	0.4310986015
279	0.8236173393	0.430909734
280	0.8236173393	0.4306939001
281	0.8236173393	0.4304379595
282	0.8236173393	0.4299050884
283	0.8236173393	0.4297930942
284	0.822122571	0.429480905
285	0.8236173393	0.4293802387
286	0.8236173393	0.4292474311
287	0.8236173393	0.4292252697
288	0.8236173393	0.4290869155
289	0.8251121076	0.4289498277
290	0.8251121076	0.4288352106
291	0.8266068759	0.4287110136
292	0.8251121076	0.4284261418
293	0.8251121076	0.4282848953
294	0.8251121076	0.4281986617
295	0.8251121076	0.4280092143
296	0.8251121076	0.4277661159
297	0.8251121076	0.4276663667
298	0.8251121076	0.4276045326
299	0.8251121076	0.4274548693
300	0.8251121076	0.4269867652
301	0.8251121076	0.4268523591
302	0.8251121076	0.4267301737
303	0.8236173393	0.426121376
304	0.822122571	0.4257924539
305	0.8236173393	0.4256982056
306	0.8251121076	0.4256668806
307	0.8236173393	0.4255054059
308	0.8236173393	0.4252461519
309	0.8236173393	0.4250819332
310	0.8236173393	0.4250070403
311	0.8206278027	0.4249451277
312	0.822122571	0.4248628767
313	0.8251121076	0.4244830621
314	0.8251121076	0.4243786862
315	0.8266068759	0.4242841046
316	0.8266068759	0.4242128639
317	0.8251121076	0.4238903831
318	0.8266068759	0.423705877
319	0.8266068759	0.4236633089
320	0.8266068759	0.4235821568
321	0.8266068759	0.4235193407
322	0.8266068759	0.4232020895
323	0.8251121076	0.4231069233
324	0.8266068759	0.4227571109
325	0.8266068759	0.4226062085
326	0.8266068759	0.4218470067
327	0.8266068759	0.4218460125
328	0.8251121076	0.4214689292
329	0.8251121076	0.4213549623
330	0.8266068759	0.421286928
331	0.8266068759	0.420995241
332	0.8251121076	0.4208106362
333	0.8266068759	0.4207923762
334	0.8266068759	0.4205184454
335	0.8251121076	0.4202840761
336	0.8266068759	0.4202058803
337	0.8236173393	0.4200390148
338	0.8236173393	0.4198794916
339	0.8236173393	0.4197602209
340	0.8251121076	0.4196635927
341	0.8251121076	0.4194457261
342	0.8251121076	0.4193965363
343	0.8251121076	0.4191168551
344	0.8236173393	0.4190820295
345	0.8236173393	0.419003688
346	0.8251121076	0.4189696674
347	0.8251121076	0.4188836437
348	0.8251121076	0.4187263108
349	0.8251121076	0.4186705739
350	0.8251121076	0.4185588114
351	0.8251121076	0.4184236513
352	0.8251121076	0.4182983097
353	0.8251121076	0.4181711135
354	0.8251121076	0.4180697933
355	0.8251121076	0.4179146193
356	0.8266068759	0.417745714
357	0.8266068759	0.4176599315
358	0.8266068759	0.4174758575
359	0.8251121076	0.4174032112
360	0.8266068759	0.4173069479
361	0.8266068759	0.4172278597
362	0.8266068759	0.4171037354
363	0.8266068759	0.4167946084
364	0.8266068759	0.4166888391
365	0.8295964126	0.4166775245
366	0.8295964126	0.4165733583
367	0.8295964126	0.4164888098
368	0.8295964126	0.4164504261
369	0.8295964126	0.4163586865
370	0.8295964126	0.4160563796
371	0.8295964126	0.4160248146
372	0.8295964126	0.4158083284
373	0.8310911809	0.4156703665
374	0.8310911809	0.4154322043
375	0.8340807175	0.4152851584
376	0.8340807175	0.4151968393
377	0.8325859492	0.415086653
378	0.8340807175	0.4149301715
379	0.8340807175	0.4147390593
380	0.8325859492	0.4145992954
381	0.8355754858	0.4144714868
382	0.8340807175	0.4143773744
383	0.8340807175	0.4141728961
384	0.8340807175	0.4140517414
385	0.8340807175	0.4140214744
386	0.8355754858	0.4138927697
387	0.8325859492	0.4137631412
388	0.8325859492	0.4137118853
389	0.8325859492	0.4134915632
390	0.8325859492	0.4133626712
391	0.8325859492	0.4132759625
392	0.8325859492	0.4132296099
393	0.8325859492	0.4128731935
394	0.8325859492	0.4124998902
395	0.8325859492	0.412496301
396	0.8325859492	0.4123398016
397	0.8340807175	0.4121509923
398	0.8340807175	0.4120757519
399	0.8340807175	0.4120447566
400	0.8340807175	0.4119766264
401	0.8340807175	0.4117692406
402	0.8340807175	0.4116933402
403	0.8340807175	0.4113711885
404	0.8340807175	0.4113524537
405	0.8340807175	0.411252358
406	0.8340807175	0.4111987465
407	0.8340807175	0.4109850519
408	0.8340807175	0.4108944341
409	0.8325859492	0.4108060588
410	0.8325859492	0.4106565452
411	0.8325859492	0.410649578
412	0.8325859492	0.4106083788
413	0.8325859492	0.4104586879
414	0.8325859492	0.4099814938
415	0.8325859492	0.4099293734
416	0.8325859492	0.4098619239
417	0.8325859492	0.4097836903
418	0.8325859492	0.4097183948
419	0.8325859492	0.4095588251
420	0.8325859492	0.4094013448
421	0.8325859492	0.409271965
422	0.8325859492	0.4090637651
423	0.8340807175	0.4088796219
424	0.8340807175	0.4087590893
425	0.8340807175	0.4086592579
426	0.8325859492	0.408468286
427	0.8325859492	0.4083363477
428	0.8325859492	0.4082361911
429	0.8325859492	0.4080455968
430	0.8325859492	0.407864481
431	0.8325859492	0.4077752692
432	0.8325859492	0.407755517
433	0.8325859492	0.4075848231
434	0.8325859492	0.407427124
435	0.8310911809	0.406971425
436	0.8340807175	0.4068358878
437	0.8325859492	0.4066157596
438	0.8325859492	0.406108191
439	0.8340807175	0.4059925928
440	0.8340807175	0.405907093
441	0.8325859492	0.4056287322
442	0.8325859492	0.4055371693
443	0.8325859492	0.4054986801
444	0.8325859492	0.4054470461
445	0.8340807175	0.4053747293
446	0.8340807175	0.4053168181
447	0.8355754858	0.40518958
448	0.8355754858	0.4050601957
449	0.8355754858	0.4049228871
450	0.8355754858	0.4048421351
451	0.8325859492	0.4046988846
452	0.8340807175	0.4045769482
453	0.8355754858	0.4044769084
454	0.8355754858	0.4044148549
455	0.8355754858	0.4043919444
456	0.8325859492	0.4043128846
457	0.8325859492	0.4042622505
458	0.8325859492	0.4041196425
459	0.8325859492	0.40409896
460	0.8325859492	0.4038324009
461	0.8340807175	0.4037218165
462	0.8355754858	0.4036809739
463	0.8355754858	0.4035876932
464	0.8325859492	0.4033937768
465	0.8340807175	0.4033554159
466	0.8325859492	0.4032603668
467	0.8325859492	0.4031272353
468	0.8325859492	0.4027800554
469	0.8325859492	0.4024524631
470	0.8325859492	0.4023334166
471	0.8325859492	0.4023165271
472	0.8325859492	0.4022514115
473	0.8340807175	0.4020503359
474	0.8340807175	0.4019094448
475	0.8340807175	0.4016516037
476	0.8325859492	0.4015740122
477	0.8325859492	0.4013491376
478	0.8325859492	0.4012182956
479	0.8325859492	0.4011612839
480	0.8325859492	0.4010458062
481	0.8340807175	0.4009478473
482	0.8340807175	0.4008668786
483	0.8340807175	0.400785872
484	0.8340807175	0.4006929771
485	0.8340807175	0.4006498335
486	0.8340807175	0.4005719838
487	0.8355754858	0.4004047984
488	0.8355754858	0.4003964324
489	0.8355754858	0.4003818681
490	0.8355754858	0.400286055
491	0.8355754858	0.4002381881
492	0.8355754858	0.4002123229
493	0.8355754858	0.4000857483
494	0.8355754858	0.3999513164
495	0.8355754858	0.3999113959
496	0.8355754858	0.3998706554
497	0.8355754858	0.399712777
498	0.8355754858	0.3996494174
499	0.8355754858	0.3995076378
